Date,Product Name,Region,Quantity Sold,Unit Price,Discount Percentage,Total Sales
2023-10-17,Monitor,South,35,132.25,20,3703.0
2022-04-25,Laptop,East,26,233.66,10,5467.644
2022-01-26,External Hard Drive,East,14,459.84,5,6115.871999999999
2022-10-09,Headphones,West,28,355.27,0,9947.56
2022-09-08,Smartphone,North,14,144.25,0,2019.5
2022-08-17,USB-C Cable,South,32,413.52,0,13232.64
2022-05-23,Smartphone,West,18,257.51,15,3939.9030000000002
2022-04-15,Laptop,East,21,321.35,20,5398.68
2023-11-24,Wireless Mouse,East,19,70.7,0,1343.3
2023-07-13,Smartphone,West,22,24.98,20,439.6480000000001
2022-03-31,USB-C Cable,North,36,192.51,0,6930.36
2023-08-28,Smartwatch,South,37,301.08,15,9468.965999999999
2023-03-09,Smartwatch,East,9,97.02,10,785.862
2022-02-02,USB-C Cable,West,37,436.54,20,12921.584000000003
2022-01-31,Printer,East,32,297.57,10,8570.016
2022-04-06,Laptop,East,22,181.38,15,3391.8059999999996
2022-08-12,Printer,South,44,90.12,20,3172.224
2022-08-27,USB-C Cable,North,49,448.3,10,19770.030000000002
2023-06-02,Monitor,North,4,376.99,15,1281.766
2023-09-09,USB-C Cable,South,3,347.54,5,990.489
2022-01-28,External Hard Drive,West,7,149.68,20,838.2080000000001
2023-07-29,External Hard Drive,West,41,199.42,10,7358.598
2022-07-23,Printer,North,30,89.82,15,2290.41
2023-10-28,Printer,East,2,290.41,5,551.779
2023-12-20,Laptop,East,8,482.81,20,3089.9840000000004
2023-07-13,Smartwatch,West,11,429.98,5,4493.291
2023-03-06,Wireless Mouse,South,29,327.22,0,9489.380000000001
2022-08-14,Monitor,East,30,342.07,20,8209.68
2023-04-05,Keyboard,West,1,141.85,15,120.57249999999999
2023-08-27,Smartwatch,South,28,210.66,15,5013.708
2022-10-12,USB-C Cable,North,13,19.83,20,206.23199999999997
2022-01-07,Wireless Mouse,South,45,392.35,0,17655.75
2022-06-13,Laptop,North,9,386.11,20,2779.992
2023-12-16,Headphones,West,42,14.36,10,542.808
2023-03-09,Smartwatch,South,20,456.64,15,7762.879999999999
2022-12-15,Smartwatch,West,11,327.21,5,3419.3444999999997
2022-10-12,Wireless Mouse,North,18,304.56,15,4659.768
2022-06-09,USB-C Cable,East,6,14.15,0,84.9
2022-08-09,Smartwatch,East,42,133.67,20,4491.312
2022-12-11,Wireless Mouse,North,24,404.49,15,8251.596
2022-04-15,Smartphone,East,17,159.68,10,2443.104
2022-04-05,Printer,East,6,483.84,0,2903.04
2023-01-25,External Hard Drive,South,24,324.94,0,7798.5599999999995
2022-04-10,Printer,South,43,217.67,5,8891.8195
2023-01-03,USB-C Cable,East,42,194.47,15,6942.579
2022-12-19,Smartphone,South,11,180.87,20,1591.6560000000002
2023-09-11,Smartwatch,North,4,133.48,0,533.92
2022-09-28,Monitor,South,26,238.68,10,5585.112
2022-02-14,Printer,South,41,341.83,10,12613.527
2023-04-16,Laptop,South,20,413.91,20,6622.560000000001
2023-07-04,Printer,West,47,204.6,10,8654.58
2022-05-08,Keyboard,North,45,60.13,5,2570.5575
2023-01-23,Monitor,East,49,260.64,20,10217.088
2022-03-22,Keyboard,East,15,334.55,10,4516.425
2023-07-20,Keyboard,West,28,423.21,5,11257.385999999999
2022-10-28,Laptop,South,42,193.37,10,7309.386
2023-10-06,Smartphone,North,6,327.2,15,1668.7199999999998
2023-09-26,Keyboard,North,46,308.43,20,11350.224000000002
2023-01-06,Monitor,East,7,156.25,10,984.375
2023-08-15,Printer,West,1,62.97,10,56.673
2022-07-16,USB-C Cable,West,14,41.28,5,549.024
2023-12-23,Monitor,West,31,494.3,15,13024.805
2022-03-13,External Hard Drive,West,5,323.89,15,1376.5324999999998
2022-02-16,Wireless Mouse,North,9,432.13,5,3694.7115
2023-11-09,Printer,South,38,137.96,15,4456.108
2022-08-22,Laptop,East,15,358.44,10,4838.9400000000005
2022-10-24,Keyboard,North,34,447.26,10,13686.156
2022-03-23,USB-C Cable,West,44,156.41,15,5849.7339999999995
2022-08-27,Keyboard,West,29,83.47,10,2178.567
2022-04-14,Laptop,East,1,385.08,15,327.318
2023-01-25,Monitor,South,1,450.85,5,428.3075
2022-10-12,External Hard Drive,South,45,404.66,20,14567.760000000002
2023-04-10,Wireless Mouse,South,22,403.16,5,8426.044
2023-10-13,External Hard Drive,West,8,304.02,20,1945.728
2023-01-09,Printer,North,28,333.66,5,8875.356000000002
2022-06-16,Monitor,North,45,343.57,0,15460.65
2023-01-15,Wireless Mouse,South,9,363.43,10,2943.783
2022-12-30,Headphones,East,31,331.15,5,9752.367499999998
2022-08-03,External Hard Drive,South,5,498.76,20,1995.0400000000002
2023-11-18,Keyboard,South,15,137.12,15,1748.2800000000002
2022-10-01,Smartwatch,East,25,215.1,15,4570.875
2023-12-20,Printer,South,6,200.25,5,1141.425
2023-12-01,Printer,East,47,27.31,5,1219.3915
2023-10-26,Wireless Mouse,East,7,356.95,5,2373.7175
2022-03-15,Headphones,North,7,290.3,15,1727.285
2023-09-16,USB-C Cable,East,21,103.06,0,2164.26
2023-10-13,External Hard Drive,South,24,366.01,5,8345.028
2022-06-25,Smartphone,East,20,118.96,15,2022.3199999999997
2023-07-01,USB-C Cable,South,9,271.97,15,2080.5705000000003
2022-09-08,Printer,East,25,394.6,5,9371.75
2022-06-17,Printer,North,50,454.2,20,18168.0
2023-04-19,Laptop,South,49,339.22,20,13297.424000000003
2023-01-24,Wireless Mouse,South,9,258.58,10,2094.498
2022-10-04,Smartwatch,South,42,424.26,15,15146.081999999999
2023-10-18,Headphones,East,44,421.91,10,16707.636000000002
2023-12-06,Smartphone,North,10,439.48,10,3955.32
2023-07-25,USB-C Cable,North,5,98.76,20,395.04
2022-08-13,External Hard Drive,North,34,57.83,20,1572.976
2023-12-03,Wireless Mouse,North,37,72.69,0,2689.5299999999997
2022-11-29,External Hard Drive,East,1,136.74,15,116.229
2022-02-27,Monitor,South,40,406.09,0,16243.599999999999
2022-08-23,Laptop,West,42,383.83,5,15314.816999999997
2022-02-02,Headphones,North,11,99.7,0,1096.7
2022-11-20,Laptop,West,29,343.06,5,9451.303
2023-02-15,Printer,East,23,174.46,10,3611.3220000000006
2022-10-02,Laptop,East,47,53.76,15,2147.712
2022-03-09,Smartphone,West,14,184.09,0,2577.26
2022-08-05,Printer,South,41,374.66,15,13056.901000000002
2023-08-04,USB-C Cable,West,48,160.47,10,6932.304
2022-11-19,External Hard Drive,East,10,396.16,10,3565.4400000000005
2022-08-06,USB-C Cable,West,27,172.35,10,4188.105
2023-11-03,Monitor,North,40,137.67,10,4956.12
2023-05-27,Printer,North,44,154.09,20,5423.968000000001
2023-02-10,Printer,South,29,427.09,20,9908.488
2023-10-21,Headphones,West,14,240.56,10,3031.056
2023-04-15,Printer,West,6,434.53,10,2346.462
2022-05-27,External Hard Drive,West,7,295.95,0,2071.65
2022-09-29,Smartphone,West,9,472.71,15,3616.2314999999994
2022-05-23,Monitor,South,49,44.9,0,2200.1
2022-09-10,Headphones,East,8,445.82,10,3209.904
2023-07-29,Smartwatch,South,38,255.23,20,7758.992
2023-07-06,External Hard Drive,East,47,435.07,5,19425.8755
2022-09-27,Smartphone,East,25,197.02,20,3940.4
2023-08-22,Laptop,East,23,156.19,20,2873.896
2023-03-15,USB-C Cable,West,28,36.49,20,817.3760000000001
2023-08-21,Monitor,South,21,428.58,5,8550.171
2023-02-13,Keyboard,East,9,77.31,10,626.211
2023-01-06,External Hard Drive,North,16,108.15,10,1557.3600000000001
2022-08-13,USB-C Cable,East,18,210.5,10,3410.1
2022-05-22,Wireless Mouse,South,42,289.01,20,9710.736
2023-06-06,USB-C Cable,West,6,454.24,15,2316.624
2023-05-21,USB-C Cable,North,16,234.21,15,3185.256
2022-04-04,Smartwatch,East,36,165.03,0,5941.08
2022-02-18,Smartwatch,West,39,360.68,15,11956.542
2022-04-23,Printer,South,39,391.68,20,12220.416000000001
2022-06-06,Smartphone,South,47,248.91,10,10528.893
2023-10-05,Printer,North,39,319.21,15,10581.811499999998
2022-06-13,External Hard Drive,North,19,96.64,5,1744.352
2023-11-28,Printer,East,50,320.9,5,15242.749999999998
2023-03-09,Keyboard,West,45,12.31,10,498.55500000000006
2023-09-03,Keyboard,West,2,144.03,15,244.851
2022-03-07,External Hard Drive,South,43,382.98,20,13174.512
2023-01-30,External Hard Drive,South,20,92.62,20,1481.92
2023-01-26,Monitor,East,14,384.6,15,4576.740000000001
2023-09-03,Printer,East,34,249.89,0,8496.26
2023-04-25,Keyboard,South,39,384.15,0,14981.849999999999
2023-06-26,Headphones,South,33,53.14,5,1665.939
2022-09-15,Headphones,West,13,311.1,10,3639.8700000000003
2023-07-21,Smartwatch,West,48,320.41,5,14610.696
2022-01-12,Monitor,West,26,207.66,10,4859.244
2023-11-28,Headphones,East,19,483.01,10,8259.471000000001
2022-04-28,Monitor,West,42,197.83,10,7477.974000000001
2023-11-30,Wireless Mouse,North,4,28.49,10,102.564
2023-07-04,Keyboard,North,16,107.71,20,1378.688
2022-10-01,Printer,West,32,192.82,15,5244.704
2023-10-19,Monitor,West,25,16.9,10,380.24999999999994
2022-12-15,Monitor,South,8,167.88,15,1141.5839999999998
2022-04-25,Smartphone,South,16,418.28,10,6023.232
2022-10-28,Printer,East,32,103.38,20,2646.5280000000002
2023-03-22,Wireless Mouse,North,41,341.61,20,11204.808
2022-06-11,Smartphone,North,39,317.08,15,10511.202
2023-04-10,External Hard Drive,East,5,131.92,15,560.6599999999999
2022-01-04,Smartwatch,West,34,349.83,5,11299.508999999998
2022-09-27,Keyboard,West,1,178.73,5,169.7935
2023-05-28,Laptop,East,24,73.18,0,1756.3200000000002
2022-07-02,Printer,North,21,197.94,5,3948.903
2023-06-04,Laptop,North,9,298.45,5,2551.7474999999995
2022-04-19,External Hard Drive,West,25,91.84,10,2066.4
2023-10-03,Printer,South,37,413.68,0,15306.16
2022-11-02,Wireless Mouse,East,27,156.12,5,4004.4779999999996
2023-10-17,Smartphone,East,24,152.51,5,3477.2279999999996
2023-06-04,Monitor,West,35,366.64,15,10907.539999999999
2023-09-16,Smartphone,East,44,302.22,0,13297.68
2022-07-23,Laptop,North,12,175.54,0,2106.48
2022-06-06,Printer,West,49,445.11,0,21810.39
2023-01-18,USB-C Cable,North,31,497.78,15,13116.502999999999
2022-06-15,Keyboard,South,50,177.94,20,7117.6
2023-07-07,Smartwatch,East,5,451.68,0,2258.4
2023-06-28,Monitor,East,2,186.03,0,372.06
2022-01-01,Laptop,North,38,102.33,15,3305.259
2023-09-06,Keyboard,West,5,474.56,20,1898.2400000000002
2022-11-28,External Hard Drive,West,1,459.92,0,459.92
2023-05-16,Monitor,East,17,207.66,0,3530.22
2022-01-20,Keyboard,North,14,121.92,10,1536.1920000000002
2022-04-25,Printer,South,3,366.31,20,879.1440000000001
2023-01-07,External Hard Drive,North,4,74.29,5,282.302
2022-11-11,Wireless Mouse,West,26,369.7,0,9612.199999999999
2022-09-03,Smartwatch,East,33,298.95,15,8385.5475
2022-03-01,Laptop,East,19,92.8,10,1586.88
2022-09-04,Headphones,East,41,189.63,5,7386.0885
2023-08-04,USB-C Cable,South,46,328.76,5,14366.811999999998
2022-03-22,Headphones,South,33,28.31,10,840.8069999999999
2022-03-29,Laptop,West,50,439.51,15,18679.175
2023-05-13,Monitor,North,27,135.34,5,3471.471
2022-03-12,Laptop,North,28,272.02,5,7235.731999999999
2023-06-30,Laptop,North,45,33.81,20,1217.16
2022-05-09,Printer,South,26,497.39,5,12285.533
2022-05-12,Smartphone,East,6,334.37,0,2006.22
2023-11-07,USB-C Cable,West,41,330.25,0,13540.25
